City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lesosibirsk,58.2358,92.4828,264.77,96,99,1.65,RU,1707255276
1,waitangi,-43.9535,-176.5597,292.49,89,97,2.24,NZ,1707254879
2,port-aux-francais,-49.35,70.2167,279.2,90,100,11.14,TF,1707254882
3,hermanus,-34.4187,19.2345,292.48,79,36,7.01,ZA,1707255280
4,edinburgh of the seven seas,-37.0676,-12.3116,290.32,66,54,2.78,SH,1707255179
5,grytviken,-54.2811,-36.5092,282.97,57,2,1.92,GS,1707254883
6,adamstown,-25.066,-130.1015,298.13,80,31,1.7,PN,1707254895
7,kailua-kona,19.6406,-155.9956,300.53,67,20,4.63,US,1707255284
8,susuman,62.7833,148.1667,239.81,99,99,1.34,RU,1707254930
9,port lincoln,-34.7333,135.8667,289.23,78,5,3.38,AU,1707254716
10,bilibino,68.0546,166.4372,236.86,100,100,0.62,RU,1707255142
11,ribeira grande,38.5167,-28.7,290.37,94,75,5.81,PT,1707255171
12,albany,42.6001,-73.9662,276.67,57,6,0.45,US,1707254845
13,ouro sogui,15.6,-13.3167,299.16,38,0,1.03,SN,1707255290
14,papatowai,-46.5619,169.4708,285.95,85,78,4.46,NZ,1707254921
15,callao,-12.0667,-77.15,301.31,65,0,7.72,PE,1707255181
16,dudinka,69.4058,86.1778,253.53,87,100,3.58,RU,1707255294
17,bethel,41.3712,-73.414,278.35,52,17,0.45,US,1707254850
18,puerto natales,-51.7236,-72.4875,290.4,45,100,5.14,CL,1707254912
19,coracora,-15.0333,-73.7833,286.93,81,47,4.05,PE,1707255297
20,novaya igirma,57.1334,103.9112,258.24,100,98,1.81,RU,1707255298
21,hamilton,39.1834,-84.5333,283.55,54,0,2.57,US,1707255236
22,yellowknife,62.456,-114.3525,256.16,83,100,5.66,CA,1707255300
23,tiksi,71.6872,128.8694,248.66,99,98,2.69,RU,1707254914
24,longyearbyen,78.2186,15.6401,264.06,67,40,9.77,SJ,1707255201
25,dakhla,23.6848,-15.958,293.16,68,100,8.75,EH,1707255303
26,kodiak,57.79,-152.4072,270.88,86,0,1.54,US,1707254925
27,kone,-21.0595,164.8658,299.38,86,100,2.16,NC,1707254938
28,margaret river,-33.95,115.0667,289.65,65,0,5.29,AU,1707254880
29,hawaiian paradise park,19.5933,-154.9731,296.36,77,100,2.06,US,1707254915
30,klyuchi,52.2667,79.1667,263.82,83,79,5.33,RU,1707255138
31,petropavlovsk-kamchatsky,53.0452,158.6483,262.47,84,75,3.0,RU,1707255310
32,talnakh,69.4865,88.3972,251.26,86,100,3.39,RU,1707255311
